"N;Date;Time;N [Decimal degrees];E [Decimal degrees];GPS uncertainty [m];h [m];Location provider;D [ÎĽSv/h];Standard deviation;Standard error of the mean value;CF;Number of measured points".
"631;2022-09-09;09:30:56;46.083;14.518;3.79;339.341;gps;0.071;0;0;0;1".
"632;2022-09-09;09:30:57;46.083;14.519;3.79;338.863;gps;0.072;0;0;0;1".
"633;2022-09-09;09:30:58;46.083;14.519;3.79;338.968;gps;0.074;0;0;0;1".
"634;2022-09-09;09:30:59;46.083;14.519;3.79;337.985;gps;0.074;0;0;0;1".
"635;2022-09-09;09:31:00;46.083;14.52;3.79;337.671;gps;0.074;0;0;0;1".
"636;2022-09-09;09:31:01;46.083;14.52;3.79;336.834;gps;0.075;0;0;0;1".
"637;2022-09-09;09:31:02;46.083;14.52;3.79;336.378;gps;0.075;0;0;0;1".
"638;2022-09-09;09:31:03;46.083;14.521;3.79;336.063;gps;0.075;0;0;0;1".
"639;2022-09-09;09:31:04;46.083;14.521;3.79;335.417;gps;0.074;0;0;0;1".
"640;2022-09-09;09:31:05;46.083;14.521;3.79;334.879;gps;0.072;0;0;0;1".
"641;2022-09-09;09:31:06;46.083;14.522;3.79;334.455;gps;0.07;0;0;0;1".
"642;2022-09-09;09:31:07;46.083;14.522;3.79;334.187;gps;0.067;0;0;0;1".
"643;2022-09-09;09:31:08;46.083;14.522;3.79;337.348;gps;0.066;0;0;0;1".
"644;2022-09-09;09:31:09;46.083;14.522;3.79;336.169;gps;0.066;0;0;0;1".
"645;2022-09-09;09:31:10;46.082;14.523;3.79;335.54;gps;0.067;0;0;0;1".
"646;2022-09-09;09:31:11;46.082;14.523;3.79;335.195;gps;0.066;0;0;0;1".
"647;2022-09-09;09:31:12;46.082;14.523;3.79;335.381;gps;0.063;0;0;0;1".
"648;2022-09-09;09:31:13;46.082;14.523;3.79;335.315;gps;0.065;0;0;0;1".
"649;2022-09-09;09:31:16;46.082;14.524;14.05;335.406;averaged;0.066;0.001;0.001;0;2".
"650;2022-09-09;09:31:18;46.082;14.524;14.05;335.276;averaged;0.064;0.001;0.001;0;2".
"651;2022-09-09;09:31:19;46.082;14.524;9.935;336.853;gps;0.063;0;0;0;1".
"652;2022-09-09;09:31:21;46.082;14.525;14.05;337.553;averaged;0.062;0.001;0;0;2".
"653;2022-09-09;09:31:23;46.082;14.525;14.05;338.894;averaged;0.064;0.001;0.001;0;2".
"654;2022-09-09;09:31:25;46.082;14.525;14.05;339.384;averaged;0.066;0;0;0;2".
"655;2022-09-09;09:31:26;46.082;14.525;9.935;340.151;gps;0.064;0;0;0;1".
"656;2022-09-09;09:31:27;46.082;14.526;9.935;340.123;gps;0.061;0;0;0;1".
"657;2022-09-09;09:31:28;46.082;14.526;9.935;339.234;gps;0.059;0;0;0;1".
"658;2022-09-09;09:31:29;46.082;14.526;9.935;340.039;gps;0.058;0;0;0;1".
"659;2022-09-09;09:31:30;46.081;14.526;9.935;340.715;gps;0.054;0;0;0;1".
"660;2022-09-09;09:31:31;46.081;14.526;3.79;341.006;gps;0.055;0;0;0;1".
"661;2022-09-09;09:31:33;46.081;14.526;5.36;340.584;averaged;0.056;0;0;0;2".
"662;2022-09-09;09:32:02;46.081;14.526;20.759;340.651;averaged;0.06;0.004;0.001;0;30".
"663;2022-09-09;09:32:04;46.081;14.526;5.36;342.583;averaged;0.05;0;0;0;2".
"664;2022-09-09;09:32:06;46.081;14.526;5.36;343.096;averaged;0.05;0.001;0.001;0;2".
"665;2022-09-09;09:32:07;46.081;14.526;3.79;343.187;gps;0.049;0;0;0;1".
"666;2022-09-09;09:32:08;46.081;14.526;3.79;344.095;gps;0.048;0;0;0;1".
"667;2022-09-09;09:32:09;46.081;14.526;3.79;344.509;gps;0.047;0;0;0;1".
"668;2022-09-09;09:32:10;46.081;14.526;3.79;344.994;gps;0.048;0;0;0;1".
"669;2022-09-09;09:32:11;46.081;14.526;3.79;344.861;gps;0.049;0;0;0;1".
"670;2022-09-09;09:32:12;46.081;14.526;3.79;344.927;gps;0.05;0;0;0;1".
"671;2022-09-09;09:32:13;46.081;14.526;3.79;345.085;gps;0.051;0;0;0;1".
"672;2022-09-09;09:32:14;46.081;14.526;3.79;345.1;gps;0.051;0;0;0;1".
"673;2022-09-09;09:32:15;46.08;14.526;3.79;345.74;gps;0.05;0;0;0;1".
"674;2022-09-09;09:32:16;46.08;14.526;3.79;345.928;gps;0.051;0;0;0;1".
"675;2022-09-09;09:32:17;46.08;14.526;3.79;345.479;gps;0.052;0;0;0;1".
"676;2022-09-09;09:32:18;46.08;14.526;3.79;345.189;gps;0.052;0;0;0;1".
"677;2022-09-09;09:32:19;46.08;14.527;3.79;344.912;gps;0.053;0;0;0;1".
"678;2022-09-09;09:32:20;46.08;14.527;3.79;344.694;gps;0.052;0;0;0;1".
"679;2022-09-09;09:32:21;46.08;14.527;3.79;344.304;gps;0.052;0;0;0;1".
"680;2022-09-09;09:32:22;46.08;14.527;3.79;343.776;gps;0.05;0;0;0;1".
"681;2022-09-09;09:32:23;46.08;14.527;3.79;344.479;gps;0.052;0;0;0;1".
"682;2022-09-09;09:32:24;46.08;14.527;3.79;344.478;gps;0.051;0;0;0;1".
"683;2022-09-09;09:32:25;46.08;14.527;3.79;344.458;gps;0.052;0;0;0;1".
"684;2022-09-09;09:32:26;46.08;14.528;3.79;344.162;gps;0.051;0;0;0;1".
"685;2022-09-09;09:32:27;46.08;14.528;3.79;343.78;gps;0.053;0;0;0;1".
"686;2022-09-09;09:32:28;46.08;14.528;3.79;342.949;gps;0.052;0;0;0;1".
"687;2022-09-09;09:32:29;46.08;14.528;3.79;343.026;gps;0.052;0;0;0;1".
"688;2022-09-09;09:32:30;46.08;14.528;3.79;342.93;gps;0.052;0;0;0;1".
"689;2022-09-09;09:32:31;46.08;14.528;3.79;343.076;gps;0.052;0;0;0;1".
"690;2022-09-09;09:32:32;46.08;14.529;3.79;343.179;gps;0.052;0;0;0;1".
"691;2022-09-09;09:32:33;46.08;14.529;3.79;342.892;gps;0.054;0;0;0;1".
"692;2022-09-09;09:32:34;46.08;14.529;3.79;343.245;gps;0.052;0;0;0;1".
"693;2022-09-09;09:32:35;46.08;14.529;3.79;343.823;gps;0.053;0;0;0;1".
"694;2022-09-09;09:32:36;46.08;14.529;3.79;343.48;gps;0.053;0;0;0;1".
"695;2022-09-09;09:32:37;46.081;14.529;3.79;343.26;gps;0.054;0;0;0;1".
"696;2022-09-09;09:32:38;46.081;14.529;3.79;343.994;gps;0.056;0;0;0;1".
"697;2022-09-09;09:32:40;46.081;14.529;5.36;344.205;averaged;0.057;0.001;0;0;2".
"698;2022-09-09;09:32:49;46.081;14.529;11.37;342.823;averaged;0.057;0.001;0;0;9".
"699;2022-09-09;09:32:51;46.081;14.529;5.36;343.507;averaged;0.056;0.001;0.001;0;2".
"700;2022-09-09;09:32:52;46.081;14.529;3.79;343.29;gps;0.055;0;0;0;1".
"701;2022-09-09;09:32:53;46.081;14.529;3.79;343.66;gps;0.056;0;0;0;1".
"702;2022-09-09;09:32:54;46.081;14.529;3.79;343.534;gps;0.055;0;0;0;1".
"703;2022-09-09;09:32:55;46.081;14.529;3.79;344.452;gps;0.054;0;0;0;1".
"704;2022-09-09;09:32:56;46.081;14.529;3.79;344.051;gps;0.055;0;0;0;1".
"705;2022-09-09;09:32:57;46.081;14.529;3.79;344.294;gps;0.055;0;0;0;1".
"706;2022-09-09;09:32:58;46.081;14.529;3.79;344.488;gps;0.053;0;0;0;1".
"707;2022-09-09;09:32:59;46.081;14.529;3.79;344.052;gps;0.052;0;0;0;1".
"708;2022-09-09;09:33:00;46.081;14.529;3.79;344.052;gps;0.053;0;0;0;1".
"709;2022-09-09;09:33:01;46.082;14.529;3.79;343.987;gps;0.054;0;0;0;1".
"710;2022-09-09;09:33:02;46.082;14.529;3.79;344.154;gps;0.052;0;0;0;1".
"711;2022-09-09;09:33:03;46.082;14.529;3.79;343.113;gps;0.054;0;0;0;1".
"712;2022-09-09;09:33:04;46.082;14.529;3.79;342.521;gps;0.056;0;0;0;1".
"713;2022-09-09;09:33:05;46.082;14.529;3.79;342.734;gps;0.055;0;0;0;1".
"714;2022-09-09;09:33:06;46.082;14.529;3.79;342.454;gps;0.056;0;0;0;1".
"715;2022-09-09;09:33:07;46.082;14.529;3.79;340.76;gps;0.058;0;0;0;1".
"716;2022-09-09;09:33:08;46.082;14.529;3.79;340.676;gps;0.059;0;0;0;1".
"717;2022-09-09;09:33:09;46.083;14.529;3.79;340.317;gps;0.059;0;0;0;1".
"718;2022-09-09;09:33:10;46.083;14.529;3.79;340.166;gps;0.06;0;0;0;1".
"719;2022-09-09;09:33:11;46.083;14.529;3.79;339.578;gps;0.058;0;0;0;1".
"720;2022-09-09;09:33:12;46.083;14.529;3.79;339.328;gps;0.055;0;0;0;1".
"721;2022-09-09;09:33:13;46.083;14.529;3.79;338.914;gps;0.055;0;0;0;1".
"722;2022-09-09;09:33:14;46.083;14.53;3.79;338.688;gps;0.054;0;0;0;1".
"723;2022-09-09;09:33:15;46.083;14.53;3.79;338.54;gps;0.053;0;0;0;1".
"724;2022-09-09;09:33:16;46.084;14.53;3.79;338.228;gps;0.056;0;0;0;1".
"725;2022-09-09;09:33:17;46.084;14.53;3.79;337.301;gps;0.056;0;0;0;1".
"726;2022-09-09;09:33:18;46.084;14.53;3.79;337.554;gps;0.057;0;0;0;1".
"727;2022-09-09;09:33:19;46.084;14.53;3.79;337.203;gps;0.058;0;0;0;1".
"728;2022-09-09;09:33:20;46.084;14.53;3.79;337.653;gps;0.057;0;0;0;1".
"729;2022-09-09;09:33:21;46.085;14.531;3.79;338.748;gps;0.059;0;0;0;1".
"730;2022-09-09;09:33:22;46.085;14.531;3.79;339.738;gps;0.06;0;0;0;1".
"731;2022-09-09;09:33:23;46.085;14.531;3.79;340.027;gps;0.058;0;0;0;1".
"732;2022-09-09;09:33:24;46.085;14.531;3.79;339.944;gps;0.057;0;0;0;1".
"733;2022-09-09;09:33:25;46.085;14.531;3.79;340.521;gps;0.057;0;0;0;1".
"734;2022-09-09;09:33:26;46.085;14.531;3.79;340.164;gps;0.054;0;0;0;1".
"735;2022-09-09;09:33:27;46.086;14.531;3.79;340.597;gps;0.053;0;0;0;1".
"736;2022-09-09;09:33:28;46.086;14.531;3.79;339.964;gps;0.051;0;0;0;1".
"737;2022-09-09;09:33:29;46.086;14.532;3.79;340.074;gps;0.05;0;0;0;1".
"738;2022-09-09;09:33:30;46.086;14.532;3.79;340.052;gps;0.051;0;0;0;1".
"739;2022-09-09;09:33:31;46.086;14.532;3.79;339.92;gps;0.051;0;0;0;1".
"740;2022-09-09;09:33:32;46.087;14.532;3.79;340.861;gps;0.051;0;0;0;1".
"741;2022-09-09;09:33:33;46.087;14.532;3.79;340.096;gps;0.052;0;0;0;1".
"742;2022-09-09;09:33:34;46.087;14.532;3.79;340.072;gps;0.052;0;0;0;1".
"743;2022-09-09;09:33:35;46.087;14.532;3.79;340.305;gps;0.054;0;0;0;1".
"744;2022-09-09;09:33:36;46.087;14.533;3.79;339.882;gps;0.05;0;0;0;1".
"745;2022-09-09;09:33:37;46.088;14.533;3.79;339.491;gps;0.05;0;0;0;1".
"746;2022-09-09;09:33:38;46.088;14.533;3.79;339.968;gps;0.049;0;0;0;1".
"747;2022-09-09;09:33:39;46.088;14.533;3.79;340.109;gps;0.049;0;0;0;1".
"748;2022-09-09;09:33:40;46.088;14.533;3.79;340.332;gps;0.049;0;0;0;1".
"749;2022-09-09;09:33:41;46.088;14.533;3.79;340.348;gps;0.05;0;0;0;1".
"750;2022-09-09;09:33:42;46.089;14.533;3.79;340.481;gps;0.052;0;0;0;1".
"751;2022-09-09;09:33:43;46.089;14.533;3.79;340.57;gps;0.052;0;0;0;1".
"752;2022-09-09;09:33:44;46.089;14.533;3.79;340.449;gps;0.052;0;0;0;1".
"753;2022-09-09;09:33:45;46.089;14.534;3.79;340.412;gps;0.054;0;0;0;1".
"754;2022-09-09;09:33:46;46.09;14.534;3.79;340.272;gps;0.054;0;0;0;1".
"755;2022-09-09;09:33:47;46.09;14.534;3.79;340.293;gps;0.055;0;0;0;1".
"756;2022-09-09;09:33:48;46.09;14.534;3.79;340.329;gps;0.054;0;0;0;1".
"757;2022-09-09;09:33:49;46.09;14.534;3.79;340.407;gps;0.054;0;0;0;1".
"758;2022-09-09;09:33:50;46.09;14.534;3.79;340.113;gps;0.052;0;0;0;1".
"759;2022-09-09;09:33:51;46.091;14.534;3.79;340.012;gps;0.053;0;0;0;1".
"760;2022-09-09;09:33:52;46.091;14.534;3.79;339.297;gps;0.053;0;0;0;1".
"761;2022-09-09;09:33:53;46.091;14.534;3.79;337.934;gps;0.053;0;0;0;1".
"762;2022-09-09;09:33:54;46.091;14.535;3.79;338.054;gps;0.056;0;0;0;1".
"763;2022-09-09;09:33:55;46.091;14.535;3.79;337.82;gps;0.057;0;0;0;1".
"764;2022-09-09;09:33:56;46.092;14.535;3.79;337.649;gps;0.06;0;0;0;1".
"765;2022-09-09;09:33:57;46.092;14.535;3.79;337.406;gps;0.06;0;0;0;1".
"766;2022-09-09;09:33:58;46.092;14.535;3.79;337.419;gps;0.059;0;0;0;1".
"767;2022-09-09;09:33:59;46.092;14.535;3.79;336.86;gps;0.059;0;0;0;1".
"768;2022-09-09;09:34:00;46.092;14.535;3.79;336.284;gps;0.059;0;0;0;1".
"769;2022-09-09;09:34:01;46.093;14.535;3.79;336.803;gps;0.058;0;0;0;1".
"770;2022-09-09;09:34:02;46.093;14.535;3.79;336.771;gps;0.058;0;0;0;1".
"771;2022-09-09;09:34:03;46.093;14.535;3.79;336.895;gps;0.057;0;0;0;1".
"772;2022-09-09;09:34:04;46.093;14.536;3.79;337.125;gps;0.058;0;0;0;1".
"773;2022-09-09;09:34:05;46.093;14.536;3.79;337.305;gps;0.06;0;0;0;1".
"774;2022-09-09;09:34:06;46.094;14.536;3.79;337.069;gps;0.061;0;0;0;1".
"775;2022-09-09;09:34:07;46.094;14.536;3.79;336.759;gps;0.06;0;0;0;1".
"776;2022-09-09;09:34:08;46.094;14.536;3.79;336.754;gps;0.058;0;0;0;1".
"777;2022-09-09;09:34:09;46.094;14.536;3.79;336.577;gps;0.058;0;0;0;1".
"778;2022-09-09;09:34:10;46.094;14.536;3.79;336.882;gps;0.057;0;0;0;1".
"779;2022-09-09;09:34:11;46.095;14.536;3.79;336.891;gps;0.057;0;0;0;1".
"780;2022-09-09;09:34:12;46.095;14.536;3.79;336.898;gps;0.056;0;0;0;1".
"781;2022-09-09;09:34:13;46.095;14.536;3.79;336.755;gps;0.056;0;0;0;1".
"782;2022-09-09;09:34:14;46.095;14.536;3.79;337.524;gps;0.057;0;0;0;1".
"783;2022-09-09;09:34:15;46.095;14.537;3.79;337.404;gps;0.059;0;0;0;1".
"784;2022-09-09;09:34:16;46.096;14.537;3.79;337.668;gps;0.06;0;0;0;1".
"785;2022-09-09;09:34:17;46.096;14.537;3.79;337.543;gps;0.061;0;0;0;1".
"786;2022-09-09;09:34:18;46.096;14.537;3.79;337.531;gps;0.061;0;0;0;1".
"787;2022-09-09;09:34:19;46.096;14.537;3.79;337.478;gps;0.062;0;0;0;1".
"788;2022-09-09;09:34:20;46.096;14.537;3.79;337.359;gps;0.067;0;0;0;1".
"789;2022-09-09;09:34:22;46.097;14.537;5.36;337.373;averaged;0.062;0.002;0.001;0;2".
"790;2022-09-09;09:34:23;46.097;14.537;3.79;337.029;gps;0.062;0;0;0;1".
"791;2022-09-09;09:34:24;46.097;14.537;3.79;337.169;gps;0.062;0;0;0;1".
"792;2022-09-09;09:34:25;46.097;14.537;3.79;336.587;gps;0.063;0;0;0;1".
"793;2022-09-09;09:34:26;46.097;14.537;3.79;336.699;gps;0.063;0;0;0;1".
"794;2022-09-09;09:34:27;46.097;14.538;3.79;337.049;gps;0.062;0;0;0;1".
"795;2022-09-09;09:34:28;46.098;14.538;3.79;337.068;gps;0.06;0;0;0;1".
"796;2022-09-09;09:34:29;46.098;14.538;3.79;337.004;gps;0.061;0;0;0;1".
"797;2022-09-09;09:34:31;46.098;14.538;5.36;336.826;averaged;0.065;0.001;0.001;0;2".
"798;2022-09-09;09:35:23;46.098;14.538;27.331;336.779;averaged;0.06;0.004;0.001;0;52".
"799;2022-09-09;09:35:24;46.098;14.538;3.79;337.527;gps;0.059;0;0;0;1".
"800;2022-09-09;09:35:26;46.098;14.538;5.36;336.975;averaged;0.06;0;0;0;2".
"801;2022-09-09;09:35:27;46.098;14.538;3.79;336.79;gps;0.06;0;0;0;1".
"802;2022-09-09;09:35:28;46.098;14.538;3.79;336.178;gps;0.058;0;0;0;1".
"803;2022-09-09;09:35:29;46.098;14.538;3.79;336.168;gps;0.057;0;0;0;1".
"804;2022-09-09;09:35:30;46.098;14.538;3.79;335.993;gps;0.058;0;0;0;1".
"805;2022-09-09;09:35:31;46.098;14.538;3.79;335.965;gps;0.055;0;0;0;1".
"806;2022-09-09;09:35:32;46.098;14.538;3.79;335.687;gps;0.053;0;0;0;1".
"807;2022-09-09;09:35:33;46.098;14.538;3.79;335.922;gps;0.051;0;0;0;1".
"808;2022-09-09;09:35:34;46.099;14.538;3.79;335.792;gps;0.048;0;0;0;1".
"809;2022-09-09;09:35:35;46.099;14.538;3.79;335.389;gps;0.048;0;0;0;1".
"810;2022-09-09;09:35:36;46.099;14.538;3.79;335.863;gps;0.048;0;0;0;1".
"811;2022-09-09;09:35:37;46.099;14.538;3.79;336.228;gps;0.048;0;0;0;1".
"812;2022-09-09;09:35:38;46.099;14.538;3.79;336.024;gps;0.048;0;0;0;1".
"813;2022-09-09;09:35:39;46.099;14.538;3.79;336.505;gps;0.049;0;0;0;1".
"814;2022-09-09;09:35:40;46.099;14.539;3.79;336.654;gps;0.049;0;0;0;1".
"815;2022-09-09;09:35:41;46.1;14.539;3.79;337.543;gps;0.049;0;0;0;1".
"816;2022-09-09;09:35:42;46.1;14.539;3.79;337.871;gps;0.048;0;0;0;1".
"817;2022-09-09;09:35:43;46.1;14.539;3.79;338.624;gps;0.049;0;0;0;1".
"818;2022-09-09;09:35:44;46.1;14.539;3.79;339.141;gps;0.05;0;0;0;1".
"819;2022-09-09;09:35:45;46.1;14.539;3.79;339.919;gps;0.052;0;0;0;1".
"820;2022-09-09;09:35:46;46.1;14.539;3.79;340.467;gps;0.052;0;0;0;1".
"821;2022-09-09;09:35:47;46.101;14.539;3.79;341.174;gps;0.053;0;0;0;1".
"822;2022-09-09;09:35:48;46.101;14.539;3.79;341.121;gps;0.055;0;0;0;1".
"823;2022-09-09;09:35:49;46.101;14.539;3.79;341.98;gps;0.061;0;0;0;1".
"824;2022-09-09;09:35:50;46.101;14.539;3.79;342.229;gps;0.062;0;0;0;1".
"825;2022-09-09;09:35:51;46.101;14.539;3.79;342.782;gps;0.062;0;0;0;1".
"826;2022-09-09;09:35:52;46.101;14.539;3.79;343.319;gps;0.062;0;0;0;1".
"827;2022-09-09;09:35:53;46.101;14.54;3.79;344.893;gps;0.063;0;0;0;1".
"828;2022-09-09;09:35:54;46.102;14.54;3.79;346.024;gps;0.063;0;0;0;1".
"829;2022-09-09;09:35:55;46.102;14.54;3.79;345.253;gps;0.063;0;0;0;1".
"830;2022-09-09;09:35:56;46.102;14.54;3.79;345.878;gps;0.062;0;0;0;1".
"831;2022-09-09;09:35:57;46.102;14.54;3.79;346.83;gps;0.06;0;0;0;1".
"832;2022-09-09;09:35:58;46.102;14.54;3.79;347.068;gps;0.061;0;0;0;1".
"833;2022-09-09;09:35:59;46.102;14.54;3.79;347.177;gps;0.061;0;0;0;1".
"834;2022-09-09;09:36:00;46.102;14.54;3.79;347.159;gps;0.059;0;0;0;1".
"835;2022-09-09;09:36:01;46.103;14.54;3.79;347.227;gps;0.058;0;0;0;1".
"836;2022-09-09;09:36:02;46.103;14.541;3.79;347.006;gps;0.055;0;0;0;1".
"837;2022-09-09;09:36:03;46.103;14.541;3.79;347.066;gps;0.053;0;0;0;1".
"838;2022-09-09;09:36:04;46.103;14.541;3.79;347.426;gps;0.051;0;0;0;1".
"839;2022-09-09;09:36:05;46.103;14.541;3.79;347.085;gps;0.052;0;0;0;1".
"840;2022-09-09;09:36:06;46.103;14.541;3.79;347.073;gps;0.052;0;0;0;1".
"841;2022-09-09;09:36:07;46.103;14.541;3.79;347.347;gps;0.053;0;0;0;1".
"842;2022-09-09;09:36:08;46.103;14.541;3.79;347.274;gps;0.055;0;0;0;1".
"843;2022-09-09;09:36:09;46.103;14.542;3.79;345.459;gps;0.057;0;0;0;1".
"844;2022-09-09;09:36:10;46.104;14.542;3.79;345.746;gps;0.057;0;0;0;1".
"845;2022-09-09;09:36:11;46.104;14.542;3.79;346.251;gps;0.059;0;0;0;1".
"846;2022-09-09;09:36:12;46.104;14.542;3.79;346.442;gps;0.059;0;0;0;1".
"847;2022-09-09;09:36:13;46.104;14.542;3.79;346.423;gps;0.057;0;0;0;1".
"848;2022-09-09;09:36:14;46.104;14.542;3.79;346.461;gps;0.056;0;0;0;1".
"849;2022-09-09;09:36:15;46.104;14.542;3.79;346.539;gps;0.055;0;0;0;1".
"850;2022-09-09;09:36:16;46.104;14.542;3.79;346.857;gps;0.056;0;0;0;1".
"851;2022-09-09;09:36:17;46.104;14.542;3.79;347.344;gps;0.056;0;0;0;1".
"852;2022-09-09;09:36:18;46.104;14.543;3.79;347.358;gps;0.057;0;0;0;1".
"853;2022-09-09;09:36:19;46.104;14.543;3.79;347.329;gps;0.059;0;0;0;1".
"854;2022-09-09;09:36:21;46.104;14.543;5.36;347.615;averaged;0.06;0.001;0.001;0;2".
"855;2022-09-09;09:36:23;46.104;14.543;5.36;347.545;averaged;0.062;0.003;0.002;0;2".
"856;2022-09-09;09:36:25;46.104;14.543;5.36;347.474;averaged;0.066;0;0;0;2".
"857;2022-09-09;09:36:26;46.104;14.543;3.79;347.26;gps;0.067;0;0;0;1".
"858;2022-09-09;09:36:27;46.104;14.543;3.79;347.564;gps;0.067;0;0;0;1".
"859;2022-09-09;09:36:28;46.104;14.543;3.79;347.588;gps;0.066;0;0;0;1".
"860;2022-09-09;09:36:29;46.104;14.543;3.79;347.289;gps;0.066;0;0;0;1".
"861;2022-09-09;09:36:30;46.104;14.543;3.79;347.488;gps;0.064;0;0;0;1".
"862;2022-09-09;09:36:31;46.104;14.543;3.79;347.546;gps;0.064;0;0;0;1".
"863;2022-09-09;09:36:32;46.104;14.543;3.79;346.961;gps;0.063;0;0;0;1".
"864;2022-09-09;09:36:33;46.105;14.543;3.79;347.335;gps;0.062;0;0;0;1".
"865;2022-09-09;09:36:34;46.105;14.544;3.79;347.36;gps;0.062;0;0;0;1".
"866;2022-09-09;09:36:35;46.105;14.544;3.79;347.821;gps;0.063;0;0;0;1".
"867;2022-09-09;09:36:36;46.105;14.544;3.79;348.022;gps;0.058;0;0;0;1".
"868;2022-09-09;09:36:37;46.105;14.544;3.79;348.043;gps;0.061;0;0;0;1".
"869;2022-09-09;09:36:38;46.105;14.544;3.79;348.479;gps;0.063;0;0;0;1".
"870;2022-09-09;09:36:39;46.105;14.544;3.79;348.719;gps;0.062;0;0;0;1".
"871;2022-09-09;09:36:40;46.105;14.544;3.79;348.909;gps;0.06;0;0;0;1".
"872;2022-09-09;09:36:41;46.105;14.544;3.79;349.284;gps;0.058;0;0;0;1".
"873;2022-09-09;09:36:42;46.105;14.544;3.79;349.403;gps;0.058;0;0;0;1".
"874;2022-09-09;09:36:43;46.105;14.544;3.79;349.313;gps;0.057;0;0;0;1".
"875;2022-09-09;09:36:44;46.105;14.544;3.79;349.302;gps;0.058;0;0;0;1".
"876;2022-09-09;09:36:45;46.105;14.545;3.79;349.02;gps;0.059;0;0;0;1".
"877;2022-09-09;09:36:46;46.105;14.545;3.79;347.949;gps;0.062;0;0;0;1".
"878;2022-09-09;09:36:47;46.106;14.545;3.79;348.254;gps;0.063;0;0;0;1".
"879;2022-09-09;09:36:48;46.106;14.545;3.79;348.615;gps;0.063;0;0;0;1".
"880;2022-09-09;09:36:49;46.106;14.545;3.79;349.749;gps;0.062;0;0;0;1".
"881;2022-09-09;09:36:50;46.106;14.545;3.79;350.086;gps;0.062;0;0;0;1".
"882;2022-09-09;09:36:51;46.106;14.545;3.79;350.5;gps;0.063;0;0;0;1".
"883;2022-09-09;09:36:52;46.106;14.545;3.79;351.417;gps;0.062;0;0;0;1".
"884;2022-09-09;09:36:53;46.106;14.545;3.79;351.865;gps;0.061;0;0;0;1".
"885;2022-09-09;09:36:54;46.106;14.545;3.79;351.864;gps;0.059;0;0;0;1".
"886;2022-09-09;09:36:55;46.106;14.545;3.79;352.208;gps;0.06;0;0;0;1".
"887;2022-09-09;09:36:56;46.107;14.545;3.79;352.331;gps;0.06;0;0;0;1".
"888;2022-09-09;09:36:57;46.107;14.545;3.79;353.015;gps;0.06;0;0;0;1".
"889;2022-09-09;09:36:58;46.107;14.545;3.79;352.778;gps;0.059;0;0;0;1".
"890;2022-09-09;09:36:59;46.107;14.546;3.79;352.968;gps;0.06;0;0;0;1".
"891;2022-09-09;09:37:00;46.107;14.546;3.79;351.768;gps;0.061;0;0;0;1".
"892;2022-09-09;09:37:01;46.107;14.546;3.79;351.968;gps;0.06;0;0;0;1".
"893;2022-09-09;09:37:02;46.107;14.546;3.79;352.471;gps;0.06;0;0;0;1".
"894;2022-09-09;09:37:03;46.108;14.546;3.79;352.868;gps;0.062;0;0;0;1".
"895;2022-09-09;09:37:04;46.108;14.546;3.79;354.221;gps;0.061;0;0;0;1".
"896;2022-09-09;09:37:05;46.108;14.546;3.79;353.935;gps;0.06;0;0;0;1".
"897;2022-09-09;09:37:06;46.108;14.546;3.79;354.614;gps;0.058;0;0;0;1".
"898;2022-09-09;09:37:07;46.108;14.546;3.79;354.583;gps;0.057;0;0;0;1".
"899;2022-09-09;09:37:08;46.108;14.546;3.79;354.825;gps;0.056;0;0;0;1".
"900;2022-09-09;09:37:09;46.108;14.546;3.79;355.784;gps;0.053;0;0;0;1".
"901;2022-09-09;09:37:10;46.109;14.546;3.79;355.885;gps;0.054;0;0;0;1".
"902;2022-09-09;09:37:11;46.109;14.546;3.79;356.214;gps;0.053;0;0;0;1".
"903;2022-09-09;09:37:12;46.109;14.546;3.79;356.45;gps;0.053;0;0;0;1".
"904;2022-09-09;09:37:13;46.109;14.546;3.79;356.507;gps;0.056;0;0;0;1".
"905;2022-09-09;09:37:14;46.109;14.546;3.79;356.012;gps;0.059;0;0;0;1".
"906;2022-09-09;09:37:15;46.109;14.546;3.79;356.032;gps;0.062;0;0;0;1".
"907;2022-09-09;09:37:16;46.109;14.546;3.79;356.049;gps;0.063;0;0;0;1".
"908;2022-09-09;09:37:17;46.11;14.546;3.79;356.619;gps;0.062;0;0;0;1".
"909;2022-09-09;09:37:18;46.11;14.546;3.79;356.244;gps;0.062;0;0;0;1".
"910;2022-09-09;09:37:19;46.11;14.546;3.79;356.116;gps;0.064;0;0;0;1".
"911;2022-09-09;09:37:20;46.11;14.546;3.79;356.674;gps;0.063;0;0;0;1".
"912;2022-09-09;09:37:22;46.11;14.546;3.79;356.11;gps;0.064;0;0;0;1".
"913;2022-09-09;09:37:23;46.11;14.546;5.36;356.036;averaged;0.062;0.001;0.001;0;2".
"914;2022-09-09;09:37:24;46.111;14.546;3.79;355.458;gps;0.06;0;0;0;1".
"915;2022-09-09;09:37:25;46.111;14.546;3.79;355.118;gps;0.057;0;0;0;1".
"916;2022-09-09;09:37:26;46.111;14.546;3.79;353.542;gps;0.056;0;0;0;1".
"917;2022-09-09;09:37:27;46.111;14.546;3.79;354.867;gps;0.054;0;0;0;1".
"918;2022-09-09;09:37:28;46.111;14.546;3.79;354.867;gps;0.052;0;0;0;1".
