;"""N";Date;Time;N [Decimal degrees];E [Decimal degrees];GPS uncertainty [m];h [m];Location provider;D [μSv/h];Standard deviation;Standard error of the mean value;CF;"Number of measured points""."
56032;"""3083";2022-05-28;19:00:54;46.239999999999995;14.950000000000001;3.79;390.583;gps;0.094;0;0;0;"1""."
49320;"""3473";2021-09-23;07:23:29;46.580000000000005;15.75;3.79;291.847;gps;0.094;0;0;0;"1""."
54591;"""1642";2022-05-28;18:35:54;46.34;15.48;9.935;346.994;gps;0.095;0;0;0;"1""."
49910;"""4063";2021-09-23;07:42:51;46.61;15.89;3.79;288.341;gps;0.095;0;0;0;"1""."
50330;"""4483";2021-09-23;07:56:33;46.68;15.99;9.935;253.642;gps;0.096;0;0;0;"1""."
49944;"""4097";2021-09-23;07:43:59;46.62;15.9;9.935;293.48;gps;0.096;0;0;0;"1""."
55433;"""2484";2022-05-28;18:50:54;46.269999999999996;15.19;3.79;310.66;gps;0.096;0;0;0;"1""."
49256;"""3409";2021-09-23;07:21:24;46.589999999999996;15.700000000000001;3.79;302.683;gps;0.096;0;0;0;"1""."
63768;"""4822";2021-12-21;11:01:14;46.06;14.450000000000001;9.935;362.667;gps;0.097;0;0;0;"1""."
3776;"""3777";2021-09-06;10:31:49;45.970000000000006;14.68;3.79;393.489;gps;0.098;0;0;0;"1""."
49459;"""3612";2021-09-23;07:28:03;46.580000000000005;15.82;3.79;287.673;gps;0.098;0;0;0;"1""."
59873;"""927";2021-12-21;09:56:19;46.04;14.48;12.749;331.77;gps;0.098;0;0;0;"1""."
49514;"""3667";2021-09-23;07:29:50;46.580000000000005;15.83;3.79;299.086;gps;0.099;0;0;0;"1""."
49586;"""3739";2021-09-23;07:32:13;46.580000000000005;15.84;110;284.7;network;0.099;0;0;0;"1""."
54834;"""1885";2022-05-28;18:40:54;46.28;15.42;9.935;380.167;gps;0.099;0;0;0;"1""."
8931;"""8932";2021-09-06;13:21:17;45.89;15.549999999999999;3.79;198.948;gps;0.1;0;0;0;"1""."
9088;"""9089";2021-09-06;13:26:20;45.88;15.46;2700;0;network;0.1;0;0;0;"1""."
54291;"""1342";2022-05-28;18:30:54;46.39;15.58;3.79;307.554;gps;0.101;0;0;0;"1""."
50336;"""4489";2021-09-23;07:56:45;46.67;15.99;9.935;252.547;gps;0.103;0;0;0;"1""."
49773;"""3926";2021-09-23;07:38:23;46.589999999999996;15.85;3.956;307.819;gps;0.103;0;0;0;"1""."
61721;"""2775";2021-12-21;10:27:07;46.050000000000004;14.450000000000001;82.5;378.1;network;0.104;0;0;0;"1""."
53692;"""743";2022-05-28;18:20:54;46.46;15.69;3.79;305.379;gps;0.105;0;0;0;"1""."
14950;"""951";2021-09-08;08:39:53;45.940000000000005;15.52;3.79;195.646;gps;0.115;0;0;0;"1""."
53991;"""1042";2022-05-28;18:25:54;46.449999999999996;15.649999999999999;3.79;321.281;gps;0.117;0;0;0;"1""."
52707;"""2294";2021-06-30;08:59:08;46.51;14.86;3.79;553.673;gps;0.117;0;0;0;"1""."
40404;"""151";2021-09-22;10:48:21;46.1;14.59;1700;0;network;0.117;0;0;0;"1""."
53118;"""169";2022-05-28;18:10:54;46.42;15.85;9.935;272.077;gps;0.118;0;0;0;"1""."
53392;"""443";2022-05-28;18:15:54;46.42;15.8;3.79;281.733;gps;0.12;0;0;0;"1""."
15314;"""1315";2021-09-08;08:51:47;45.940000000000005;15.540000000000001;3.79;200.381;gps;0.122;0;0;0;"1""."
21787;"""7788";2021-09-08;12:23:34;45.940000000000005;15.56;2900;0;network;0.125;0;0;0;"1""."
17380;"""3381";2021-09-08;09:59:22;45.940000000000005;15.53;1399.999;0;network;0.127;0;0;0;"1""."
35615;"""34";2021-06-29;08:35:29;45.910000000000004;15.600000000000001;3.79;218.843;gps;0.127;0;0;0;"1""."
39926;"""2454";2021-06-30;12:55:09;46.64;16.35;3.79;224.714;gps;0.139;0;0;0;"1""."
40618;"""365";2021-09-22;10:55:26;46.1;14.6;3.79;329.019;gps;0.248;0;0;0;"1""."
57866;"""2";2022-01-13;09:25:38;46.04;14.49;0;0;averaged;0.54;0.015;0.001;0;"227""."
40586;"""333";2021-09-22;10:54:22;46.09;14.6;9.935;333.435;gps;1.417;0;0;0;"1""."
